year,month,country,category,final_action_date,filing_date
2007,6,Rest-of-World,F1,,2001-06-01
2007,6,Rest-of-World,F2A,,2002-04-22
2007,6,Rest-of-World,F2B,,1997-12-01
2007,6,Rest-of-World,F3,,1999-05-15
2007,6,Rest-of-World,F4,,1996-06-08
2007,6,Rest-of-World,EB1,,2007-06-01
2007,6,Rest-of-World,EB2,,2007-06-01
2007,6,Rest-of-World,EB3,,2005-06-01
2007,6,Rest-of-World,EB-Other,,2001-10-01
2007,6,Rest-of-World,EB4,,2007-06-01
2007,6,Rest-of-World,EB-Religious,,2007-06-01
2007,6,Rest-of-World,EB-Iraqi-Afghani-Translators,,2006-09-18
2007,6,Rest-of-World,EB5,,2007-06-01
2007,6,Rest-of-World,EB5-Targeted-Employment,,2007-06-01
2007,6,China,F1,,2001-06-01
2007,6,China,F2A,,2002-04-22
2007,6,China,F2B,,1997-12-01
2007,6,China,F3,,1999-05-15
2007,6,China,F4,,1996-01-08
2007,6,China,EB1,,2007-06-01
2007,6,China,EB2,,2006-01-01
2007,6,China,EB3,,2003-06-01
2007,6,China,EB-Other,,2001-10-01
2007,6,China,EB4,,2007-06-01
2007,6,China,EB-Religious,,2007-06-01
2007,6,China,EB-Iraqi-Afghani-Translators,,2006-09-18
2007,6,China,EB5,,2007-06-01
2007,6,China,EB5-Targeted-Employment,,2007-06-01
2007,6,India,F1,,2001-06-01
2007,6,India,F2A,,2002-04-22
2007,6,India,F2B,,1997-12-01
2007,6,India,F3,,1999-05-15
2007,6,India,F4,,1996-01-22
2007,6,India,EB1,,2007-06-01
2007,6,India,EB2,,2004-04-01
2007,6,India,EB3,,2003-06-01
2007,6,India,EB-Other,,2001-10-01
2007,6,India,EB4,,2007-06-01
2007,6,India,EB-Religious,,2007-06-01
2007,6,India,EB-Iraqi-Afghani-Translators,,2006-09-18
2007,6,India,EB5,,2007-06-01
2007,6,India,EB5-Targeted-Employment,,2007-06-01
2007,6,Mexico,F1,,1991-01-01
2007,6,Mexico,F2A,,2001-05-01
2007,6,Mexico,F2B,,1992-03-08
2007,6,Mexico,F3,,1988-02-08
2007,6,Mexico,F4,,1994-07-15
2007,6,Mexico,EB1,,2007-06-01
2007,6,Mexico,EB2,,2007-06-01
2007,6,Mexico,EB3,,2003-06-01
2007,6,Mexico,EB-Other,,2001-10-01
2007,6,Mexico,EB4,,2007-06-01
2007,6,Mexico,EB-Religious,,2007-06-01
2007,6,Mexico,EB-Iraqi-Afghani-Translators,,2006-09-18
2007,6,Mexico,EB5,,2007-06-01
2007,6,Mexico,EB5-Targeted-Employment,,2007-06-01
2007,6,Philippines,F1,,1992-04-22
2007,6,Philippines,F2A,,2002-04-22
2007,6,Philippines,F2B,,1996-10-01
2007,6,Philippines,F3,,1985-01-01
2007,6,Philippines,F4,,1985-03-01
2007,6,Philippines,EB1,,2007-06-01
2007,6,Philippines,EB2,,2007-06-01
2007,6,Philippines,EB3,,2005-06-01
2007,6,Philippines,EB-Other,,2001-10-01
2007,6,Philippines,EB4,,2007-06-01
2007,6,Philippines,EB-Religious,,2007-06-01
2007,6,Philippines,EB-Iraqi-Afghani-Translators,,2006-09-18
2007,6,Philippines,EB5,,2007-06-01
2007,6,Philippines,EB5-Targeted-Employment,,2007-06-01
