year,month,country,category,final_action_date,filing_date
2016,1,Rest-of-World,F1,2008-05-15,2009-10-01
2016,1,Rest-of-World,F2A,2014-08-01,2015-06-15
2016,1,Rest-of-World,F2B,2009-04-01,2010-12-15
2016,1,Rest-of-World,F3,2004-08-01,2005-08-01
2016,1,Rest-of-World,F4,2003-04-22,2004-05-01
2016,1,Rest-of-World,EB1,2016-01-01,2016-01-01
2016,1,Rest-of-World,EB2,2016-01-01,2016-01-01
2016,1,Rest-of-World,EB3,2015-10-01,2016-01-01
2016,1,Rest-of-World,EB-Other,2015-10-01,2016-01-01
2016,1,Rest-of-World,EB4,2016-01-01,2016-01-01
2016,1,Rest-of-World,EB-Religious,,2016-01-01
2016,1,Rest-of-World,EB5-Non-Regional-Center,2016-01-01,2016-01-01
2016,1,Rest-of-World,EB5-Regional-Center,,2016-01-01
2016,1,China,F1,2008-05-15,2009-10-01
2016,1,China,F2A,2014-08-01,2015-06-15
2016,1,China,F2B,2009-04-01,2010-12-15
2016,1,China,F3,2004-08-01,2005-08-01
2016,1,China,F4,2003-04-22,2004-05-01
2016,1,China,EB1,2016-01-01,2016-01-01
2016,1,China,EB2,2012-02-01,2013-01-01
2016,1,China,EB3,2012-07-01,2013-10-01
2016,1,China,EB-Other,2006-12-01,2007-01-01
2016,1,China,EB4,2016-01-01,2016-01-01
2016,1,China,EB-Religious,,2016-01-01
2016,1,China,EB5-Non-Regional-Center,2014-01-08,2015-05-01
2016,1,China,EB5-Regional-Center,,2015-05-01
2016,1,India,F1,2008-05-15,2009-10-01
2016,1,India,F2A,2014-08-01,2015-06-15
2016,1,India,F2B,2009-04-01,2010-12-15
2016,1,India,F3,2004-08-01,2005-08-01
2016,1,India,F4,2003-04-22,2004-05-01
2016,1,India,EB1,2016-01-01,2016-01-01
2016,1,India,EB2,2008-02-01,2009-07-01
2016,1,India,EB3,2004-05-15,2005-07-01
2016,1,India,EB-Other,2004-05-15,2005-07-01
2016,1,India,EB4,2016-01-01,2016-01-01
2016,1,India,EB-Religious,,2016-01-01
2016,1,India,EB5-Non-Regional-Center,2016-01-01,2016-01-01
2016,1,India,EB5-Regional-Center,,2016-01-01
2016,1,Mexico,F1,1994-12-22,1995-04-01
2016,1,Mexico,F2A,2014-06-01,2015-06-15
2016,1,Mexico,F2B,1995-09-08,1996-04-01
2016,1,Mexico,F3,1994-08-01,1995-05-01
2016,1,Mexico,F4,1997-04-01,1998-06-01
2016,1,Mexico,EB1,2016-01-01,2016-01-01
2016,1,Mexico,EB2,2016-01-01,2016-01-01
2016,1,Mexico,EB3,2015-10-01,2016-01-01
2016,1,Mexico,EB-Other,2015-10-01,2016-01-01
2016,1,Mexico,EB4,2016-01-01,2016-01-01
2016,1,Mexico,EB-Religious,,2016-01-01
2016,1,Mexico,EB5-Non-Regional-Center,2016-01-01,2016-01-01
2016,1,Mexico,EB5-Regional-Center,,2016-01-01
2016,1,Philippines,F1,2003-06-01,2005-09-01
2016,1,Philippines,F2A,2014-08-01,2015-06-15
2016,1,Philippines,F2B,2005-01-01,2005-05-01
2016,1,Philippines,F3,1993-11-01,1995-08-01
2016,1,Philippines,F4,1992-07-22,1993-01-01
2016,1,Philippines,EB1,2016-01-01,2016-01-01
2016,1,Philippines,EB2,2016-01-01,2016-01-01
2016,1,Philippines,EB3,2007-11-01,2010-01-01
2016,1,Philippines,EB-Other,2007-11-01,2010-01-01
2016,1,Philippines,EB4,2016-01-01,2016-01-01
2016,1,Philippines,EB-Religious,,2016-01-01
2016,1,Philippines,EB5-Non-Regional-Center,2016-01-01,2016-01-01
2016,1,Philippines,EB5-Regional-Center,,2016-01-01
