year,month,country,category,final_action_date,filing_date
2005,5,Rest-of-World,F1,,2001-04-01
2005,5,Rest-of-World,F2A,,2001-03-01
2005,5,Rest-of-World,F2B,,1995-11-08
2005,5,Rest-of-World,F3,,1998-01-22
2005,5,Rest-of-World,F4,,1993-07-01
2005,5,Rest-of-World,EB1,,2005-05-01
2005,5,Rest-of-World,EB2,,2005-05-01
2005,5,Rest-of-World,EB3,,2005-05-01
2005,5,Rest-of-World,EB-Other,,2001-07-01
2005,5,Rest-of-World,EB4,,2005-05-01
2005,5,Rest-of-World,EB-Religious,,2005-05-01
2005,5,Rest-of-World,EB5,,2005-05-01
2005,5,Rest-of-World,EB5-Targeted-Employment,,2005-05-01
2005,5,China,F1,,2001-04-01
2005,5,China,F2A,,2001-03-01
2005,5,China,F2B,,1995-11-08
2005,5,China,F3,,1998-01-22
2005,5,China,F4,,1993-07-01
2005,5,China,EB1,,2005-05-01
2005,5,China,EB2,,2005-05-01
2005,5,China,EB3,,2002-06-01
2005,5,China,EB-Other,,2001-07-01
2005,5,China,EB4,,2005-05-01
2005,5,China,EB-Religious,,2005-05-01
2005,5,China,EB5,,2005-05-01
2005,5,China,EB5-Targeted-Employment,,2005-05-01
2005,5,India,F1,,2001-04-01
2005,5,India,F2A,,2001-03-01
2005,5,India,F2B,,1995-11-08
2005,5,India,F3,,1998-01-22
2005,5,India,F4,,1992-10-22
2005,5,India,EB1,,2005-05-01
2005,5,India,EB2,,2005-05-01
2005,5,India,EB3,,2002-06-01
2005,5,India,EB-Other,,2001-07-01
2005,5,India,EB4,,2005-05-01
2005,5,India,EB-Religious,,2005-05-01
2005,5,India,EB5,,2005-05-01
2005,5,India,EB5-Targeted-Employment,,2005-05-01
2005,5,Mexico,F1,,1994-10-22
2005,5,Mexico,F2A,,1998-03-01
2005,5,Mexico,F2B,,1992-03-15
2005,5,Mexico,F3,,1995-04-22
2005,5,Mexico,F4,,1993-07-01
2005,5,Mexico,EB1,,2005-05-01
2005,5,Mexico,EB2,,2005-05-01
2005,5,Mexico,EB3,,2005-05-01
2005,5,Mexico,EB-Other,,2001-07-01
2005,5,Mexico,EB4,,2005-05-01
2005,5,Mexico,EB-Religious,,2005-05-01
2005,5,Mexico,EB5,,2005-05-01
2005,5,Mexico,EB5-Targeted-Employment,,2005-05-01
2005,5,Philippines,F1,,1991-01-15
2005,5,Philippines,F2A,,2001-03-01
2005,5,Philippines,F2B,,1995-11-08
2005,5,Philippines,F3,,1990-09-01
2005,5,Philippines,F4,,1982-12-22
2005,5,Philippines,EB1,,2005-05-01
2005,5,Philippines,EB2,,2005-05-01
2005,5,Philippines,EB3,,2002-06-01
2005,5,Philippines,EB-Other,,2001-07-01
2005,5,Philippines,EB4,,2005-05-01
2005,5,Philippines,EB-Religious,,2005-05-01
2005,5,Philippines,EB5,,2005-05-01
2005,5,Philippines,EB5-Targeted-Employment,,2005-05-01
